id,full_name,gender,governorate,party
1,Candidate 0001,Male,Baghdad,People First
2,Candidate 0002,Male,Karbala,Progressive Movement
3,Candidate 0003,Male,Kirkuk,Unity Alliance
4,Candidate 0004,Female,Baghdad,Unity Alliance
5,Candidate 0005,Male,Karbala,Progressive Movement
6,Candidate 0006,Male,Kirkuk,Progressive Movement
7,Candidate 0007,Female,Karbala,Justice Bloc
8,Candidate 0008,Female,Baghdad,Progressive Movement
9,Candidate 0009,Female,Sulaymaniyah,People First
10,Candidate 0010,Male,Karbala,People First
11,Candidate 0011,Male,Basra,Justice Bloc
12,Candidate 0012,Male,Sulaymaniyah,People First
13,Candidate 0013,Female,Baghdad,Justice Bloc
14,Candidate 0014,Male,Dhi Qar,Unity Alliance
15,Candidate 0015,Female,Anbar,People First
16,Candidate 0016,Male,Basra,Unity Alliance
17,Candidate 0017,Male,Erbil,Unity Alliance
18,Candidate 0018,Male,Basra,Justice Bloc
19,Candidate 0019,Female,Najaf,People First
20,Candidate 0020,Male,Sulaymaniyah,People First
21,Candidate 0021,Male,Erbil,Unity Alliance
22,Candidate 0022,Male,Kirkuk,Progressive Movement
23,Candidate 0023,Male,Najaf,Justice Bloc
24,Candidate 0024,Female,Kirkuk,Progressive Movement
25,Candidate 0025,Female,Baghdad,Progressive Movement
26,Candidate 0026,Male,Sulaymaniyah,Justice Bloc
27,Candidate 0027,Female,Basra,Progressive Movement
28,Candidate 0028,Female,Karbala,Justice Bloc
29,Candidate 0029,Female,Najaf,Progressive Movement
30,Candidate 0030,Female,Nineveh,Progressive Movement
31,Candidate 0031,Female,Anbar,Justice Bloc
32,Candidate 0032,Female,Sulaymaniyah,Progressive Movement
33,Candidate 0033,Male,Kirkuk,Justice Bloc
34,Candidate 0034,Male,Baghdad,Unity Alliance
35,Candidate 0035,Male,Nineveh,Justice Bloc
36,Candidate 0036,Male,Dhi Qar,Justice Bloc
37,Candidate 0037,Female,Kirkuk,People First
38,Candidate 0038,Male,Basra,Renewal Front
39,Candidate 0039,Female,Sulaymaniyah,Unity Alliance
40,Candidate 0040,Female,Dhi Qar,Progressive Movement
41,Candidate 0041,Female,Baghdad,People First
42,Candidate 0042,Male,Kirkuk,Unity Alliance
43,Candidate 0043,Female,Kirkuk,Renewal Front
44,Candidate 0044,Male,Nineveh,People First
45,Candidate 0045,Male,Kirkuk,Renewal Front
46,Candidate 0046,Male,Anbar,People First
47,Candidate 0047,Female,Baghdad,Unity Alliance
48,Candidate 0048,Female,Erbil,Progressive Movement
49,Candidate 0049,Male,Karbala,Renewal Front
50,Candidate 0050,Male,Basra,Justice Bloc
51,Candidate 0051,Male,Kirkuk,Progressive Movement
52,Candidate 0052,Male,Najaf,Renewal Front
53,Candidate 0053,Male,Erbil,Renewal Front
54,Candidate 0054,Female,Karbala,Renewal Front
55,Candidate 0055,Male,Erbil,Justice Bloc
56,Candidate 0056,Female,Najaf,Renewal Front
57,Candidate 0057,Female,Basra,Progressive Movement
58,Candidate 0058,Male,Basra,People First
59,Candidate 0059,Male,Anbar,Renewal Front
60,Candidate 0060,Male,Anbar,Progressive Movement
61,Candidate 0061,Male,Basra,Unity Alliance
62,Candidate 0062,Male,Basra,Unity Alliance
63,Candidate 0063,Female,Basra,Renewal Front
64,Candidate 0064,Male,Erbil,Justice Bloc
65,Candidate 0065,Male,Kirkuk,Progressive Movement
66,Candidate 0066,Female,Karbala,Justice Bloc
67,Candidate 0067,Female,Karbala,Unity Alliance
68,Candidate 0068,Male,Dhi Qar,People First
69,Candidate 0069,Female,Dhi Qar,Justice Bloc
70,Candidate 0070,Male,Basra,Unity Alliance
71,Candidate 0071,Female,Sulaymaniyah,Unity Alliance
72,Candidate 0072,Male,Karbala,Progressive Movement
73,Candidate 0073,Female,Nineveh,Justice Bloc
74,Candidate 0074,Male,Erbil,Justice Bloc
75,Candidate 0075,Male,Basra,Justice Bloc
76,Candidate 0076,Male,Baghdad,Renewal Front
77,Candidate 0077,Male,Basra,Progressive Movement
78,Candidate 0078,Male,Dhi Qar,Justice Bloc
79,Candidate 0079,Female,Karbala,Justice Bloc
80,Candidate 0080,Male,Nineveh,Justice Bloc
81,Candidate 0081,Male,Dhi Qar,People First
82,Candidate 0082,Female,Erbil,Justice Bloc
83,Candidate 0083,Female,Nineveh,Progressive Movement
84,Candidate 0084,Female,Karbala,Unity Alliance
85,Candidate 0085,Male,Sulaymaniyah,Unity Alliance
86,Candidate 0086,Male,Anbar,Justice Bloc
87,Candidate 0087,Male,Baghdad,Renewal Front
88,Candidate 0088,Male,Nineveh,Unity Alliance
89,Candidate 0089,Male,Karbala,Justice Bloc
90,Candidate 0090,Male,Anbar,Progressive Movement
91,Candidate 0091,Male,Anbar,Unity Alliance
92,Candidate 0092,Female,Anbar,Renewal Front
93,Candidate 0093,Female,Erbil,Progressive Movement
94,Candidate 0094,Female,Karbala,People First
95,Candidate 0095,Female,Nineveh,People First
96,Candidate 0096,Female,Sulaymaniyah,Unity Alliance
97,Candidate 0097,Male,Najaf,Renewal Front
98,Candidate 0098,Male,Basra,Renewal Front
99,Candidate 0099,Male,Kirkuk,People First
100,Candidate 0100,Male,Sulaymaniyah,Unity Alliance
101,Candidate 0101,Male,Sulaymaniyah,People First
102,Candidate 0102,Male,Najaf,Renewal Front
103,Candidate 0103,Female,Anbar,Renewal Front
104,Candidate 0104,Male,Kirkuk,People First
105,Candidate 0105,Male,Nineveh,People First
106,Candidate 0106,Male,Basra,Renewal Front
107,Candidate 0107,Male,Erbil,People First
108,Candidate 0108,Male,Sulaymaniyah,Progressive Movement
109,Candidate 0109,Female,Kirkuk,Justice Bloc
110,Candidate 0110,Female,Baghdad,Unity Alliance
111,Candidate 0111,Female,Erbil,Unity Alliance
112,Candidate 0112,Male,Sulaymaniyah,Progressive Movement
113,Candidate 0113,Female,Nineveh,Justice Bloc
114,Candidate 0114,Female,Kirkuk,Unity Alliance
115,Candidate 0115,Male,Basra,Progressive Movement
116,Candidate 0116,Male,Sulaymaniyah,Renewal Front
117,Candidate 0117,Male,Dhi Qar,Progressive Movement
118,Candidate 0118,Male,Erbil,People First
119,Candidate 0119,Male,Sulaymaniyah,Progressive Movement
120,Candidate 0120,Male,Basra,People First
121,Candidate 0121,Female,Anbar,Progressive Movement
122,Candidate 0122,Male,Nineveh,Progressive Movement
123,Candidate 0123,Female,Baghdad,Progressive Movement
124,Candidate 0124,Female,Dhi Qar,Progressive Movement
125,Candidate 0125,Female,Nineveh,Unity Alliance
126,Candidate 0126,Female,Baghdad,Justice Bloc
127,Candidate 0127,Male,Karbala,Justice Bloc
128,Candidate 0128,Female,Erbil,Progressive Movement
129,Candidate 0129,Male,Baghdad,Progressive Movement
130,Candidate 0130,Female,Sulaymaniyah,People First
131,Candidate 0131,Male,Erbil,People First
132,Candidate 0132,Female,Kirkuk,People First
133,Candidate 0133,Male,Basra,People First
134,Candidate 0134,Male,Anbar,People First
135,Candidate 0135,Male,Basra,Renewal Front
136,Candidate 0136,Female,Sulaymaniyah,People First
137,Candidate 0137,Female,Anbar,Renewal Front
138,Candidate 0138,Male,Dhi Qar,Renewal Front
139,Candidate 0139,Male,Erbil,Unity Alliance
140,Candidate 0140,Female,Baghdad,Renewal Front
141,Candidate 0141,Male,Sulaymaniyah,Justice Bloc
142,Candidate 0142,Male,Sulaymaniyah,Renewal Front
143,Candidate 0143,Female,Basra,People First
144,Candidate 0144,Female,Dhi Qar,People First
145,Candidate 0145,Female,Erbil,Renewal Front
146,Candidate 0146,Male,Karbala,Justice Bloc
147,Candidate 0147,Female,Nineveh,Renewal Front
148,Candidate 0148,Female,Dhi Qar,Renewal Front
149,Candidate 0149,Male,Erbil,People First
150,Candidate 0150,Male,Dhi Qar,Renewal Front
151,Candidate 0151,Female,Najaf,Justice Bloc
152,Candidate 0152,Female,Karbala,Renewal Front
153,Candidate 0153,Female,Nineveh,Unity Alliance
154,Candidate 0154,Female,Kirkuk,Renewal Front
155,Candidate 0155,Female,Basra,Progressive Movement
156,Candidate 0156,Female,Karbala,Progressive Movement
157,Candidate 0157,Male,Baghdad,Unity Alliance
158,Candidate 0158,Male,Najaf,Renewal Front
159,Candidate 0159,Male,Najaf,Justice Bloc
160,Candidate 0160,Male,Dhi Qar,Justice Bloc
161,Candidate 0161,Female,Karbala,Progressive Movement
162,Candidate 0162,Male,Basra,Justice Bloc
163,Candidate 0163,Male,Nineveh,Renewal Front
164,Candidate 0164,Female,Baghdad,Renewal Front
165,Candidate 0165,Male,Basra,Justice Bloc
166,Candidate 0166,Male,Najaf,Renewal Front
167,Candidate 0167,Female,Najaf,Renewal Front
168,Candidate 0168,Female,Kirkuk,Justice Bloc
169,Candidate 0169,Male,Najaf,Justice Bloc
170,Candidate 0170,Female,Karbala,People First
171,Candidate 0171,Female,Karbala,People First
172,Candidate 0172,Female,Basra,People First
173,Candidate 0173,Male,Erbil,People First
174,Candidate 0174,Female,Kirkuk,Unity Alliance
175,Candidate 0175,Male,Nineveh,Progressive Movement
176,Candidate 0176,Female,Nineveh,Progressive Movement
177,Candidate 0177,Male,Dhi Qar,Justice Bloc
178,Candidate 0178,Female,Kirkuk,Justice Bloc
179,Candidate 0179,Female,Baghdad,Progressive Movement
180,Candidate 0180,Female,Dhi Qar,Renewal Front
181,Candidate 0181,Male,Anbar,Justice Bloc
182,Candidate 0182,Female,Baghdad,People First
183,Candidate 0183,Female,Dhi Qar,Justice Bloc
184,Candidate 0184,Male,Najaf,Progressive Movement
185,Candidate 0185,Female,Dhi Qar,Justice Bloc
186,Candidate 0186,Male,Dhi Qar,People First
187,Candidate 0187,Female,Nineveh,Justice Bloc
188,Candidate 0188,Male,Anbar,Renewal Front
189,Candidate 0189,Male,Dhi Qar,Renewal Front
190,Candidate 0190,Male,Basra,Justice Bloc
191,Candidate 0191,Male,Najaf,Progressive Movement
192,Candidate 0192,Male,Erbil,Justice Bloc
193,Candidate 0193,Female,Karbala,Justice Bloc
194,Candidate 0194,Female,Sulaymaniyah,Justice Bloc
195,Candidate 0195,Female,Dhi Qar,People First
196,Candidate 0196,Male,Najaf,Unity Alliance
197,Candidate 0197,Male,Sulaymaniyah,Progressive Movement
198,Candidate 0198,Male,Baghdad,Unity Alliance
199,Candidate 0199,Male,Karbala,Unity Alliance
200,Candidate 0200,Male,Karbala,Progressive Movement
201,Candidate 0201,Female,Basra,Renewal Front
202,Candidate 0202,Male,Najaf,People First
203,Candidate 0203,Female,Nineveh,Renewal Front
204,Candidate 0204,Male,Nineveh,People First
205,Candidate 0205,Male,Anbar,Unity Alliance
206,Candidate 0206,Female,Anbar,Justice Bloc
207,Candidate 0207,Female,Karbala,Unity Alliance
208,Candidate 0208,Male,Basra,People First
209,Candidate 0209,Male,Anbar,Unity Alliance
210,Candidate 0210,Female,Kirkuk,Justice Bloc
211,Candidate 0211,Female,Basra,Renewal Front
212,Candidate 0212,Female,Baghdad,Justice Bloc
213,Candidate 0213,Female,Basra,Justice Bloc
214,Candidate 0214,Female,Najaf,Progressive Movement
215,Candidate 0215,Female,Nineveh,Renewal Front
216,Candidate 0216,Female,Anbar,Renewal Front
217,Candidate 0217,Female,Najaf,Justice Bloc
218,Candidate 0218,Female,Sulaymaniyah,Progressive Movement
219,Candidate 0219,Male,Erbil,Justice Bloc
220,Candidate 0220,Male,Najaf,Renewal Front
221,Candidate 0221,Female,Sulaymaniyah,Unity Alliance
222,Candidate 0222,Female,Sulaymaniyah,Progressive Movement
223,Candidate 0223,Female,Karbala,People First
224,Candidate 0224,Female,Sulaymaniyah,People First
225,Candidate 0225,Female,Kirkuk,Unity Alliance
226,Candidate 0226,Male,Basra,Progressive Movement
227,Candidate 0227,Female,Najaf,Renewal Front
228,Candidate 0228,Male,Najaf,Justice Bloc
229,Candidate 0229,Female,Baghdad,Unity Alliance
230,Candidate 0230,Female,Karbala,Justice Bloc
231,Candidate 0231,Male,Erbil,Renewal Front
232,Candidate 0232,Female,Najaf,Renewal Front
233,Candidate 0233,Female,Dhi Qar,Renewal Front
234,Candidate 0234,Female,Sulaymaniyah,Justice Bloc
235,Candidate 0235,Female,Erbil,People First
236,Candidate 0236,Male,Basra,Progressive Movement
237,Candidate 0237,Female,Basra,Renewal Front
238,Candidate 0238,Male,Karbala,Progressive Movement
239,Candidate 0239,Female,Erbil,Renewal Front
240,Candidate 0240,Female,Basra,Progressive Movement
241,Candidate 0241,Female,Karbala,People First
242,Candidate 0242,Male,Erbil,Unity Alliance
243,Candidate 0243,Male,Erbil,Unity Alliance
244,Candidate 0244,Male,Kirkuk,People First
245,Candidate 0245,Male,Najaf,Unity Alliance
246,Candidate 0246,Male,Anbar,People First
247,Candidate 0247,Female,Najaf,Justice Bloc
248,Candidate 0248,Female,Nineveh,Unity Alliance
249,Candidate 0249,Female,Najaf,Unity Alliance
250,Candidate 0250,Male,Dhi Qar,Justice Bloc
251,Candidate 0251,Male,Anbar,Unity Alliance
252,Candidate 0252,Male,Nineveh,Renewal Front
253,Candidate 0253,Female,Basra,Progressive Movement
254,Candidate 0254,Male,Kirkuk,Justice Bloc
255,Candidate 0255,Male,Kirkuk,Justice Bloc
256,Candidate 0256,Female,Najaf,People First
257,Candidate 0257,Female,Erbil,Renewal Front
258,Candidate 0258,Male,Anbar,Unity Alliance
259,Candidate 0259,Male,Karbala,People First
